home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,neutral_location,shoot_out,home_team_result
Bolivia,Uruguay,South America,South America,59,22,3,1,FIFA World Cup qualification,La Paz,FALSE,No,Win
Brazil,Mexico,South America,North America,8,14,1,1,Friendly,Maceió,FALSE,No,Draw
Ecuador,Venezuela,South America,South America,35,94,5,0,FIFA World Cup qualification,Quito,FALSE,No,Win
Guinea,Sierra Leone,Africa,Africa,65,86,1,0,Friendly,Conakry,FALSE,No,Win
Paraguay,Argentina,South America,South America,67,5,1,3,FIFA World Cup qualification,Asunción,FALSE,No,Lose
Peru,Colombia,South America,South America,70,19,0,1,FIFA World Cup qualification,Lima,FALSE,No,Lose
Zimbabwe,Eswatini,Africa,Africa,50,102,2,0,Friendly,Harare,FALSE,No,Win
Guinea,Sierra Leone,Africa,Africa,65,86,4,0,Friendly,Conakry,FALSE,No,Win
Faroe Islands,Norway,Europe,Europe,111,9,0,7,Friendly,Toftir,FALSE,No,Lose
Sweden,Switzerland,Europe,Europe,4,3,1,2,Friendly,Borås,FALSE,No,Lose
Australia,Canada,Oceania,North America,52,46,2,1,FIFA World Cup qualification,Sydney,FALSE,Yes,Win
Bolivia,Ecuador,South America,South America,59,35,1,0,FIFA World Cup qualification,La Paz,FALSE,No,Win
Colombia,Argentina,South America,South America,19,5,2,1,FIFA World Cup qualification,Barranquilla,FALSE,No,Win
Congo,Guinea,Africa,Africa,107,65,0,0,African Cup of Nations qualification,Pointe-Noire,FALSE,No,Draw
Uruguay,Brazil,South America,South America,22,8,1,1,FIFA World Cup qualification,Montevideo,FALSE,No,Draw
Argentina,Peru,South America,South America,5,70,2,1,FIFA World Cup qualification,Buenos Aires,FALSE,No,Win
Bolivia,Venezuela,South America,South America,59,94,7,0,FIFA World Cup qualification,La Paz,FALSE,No,Win
Brazil,Ecuador,South America,South America,8,35,2,0,FIFA World Cup qualification,São Paulo,FALSE,No,Win
Paraguay,Colombia,South America,South America,67,19,1,1,FIFA World Cup qualification,Asunción,FALSE,No,Draw
Sweden,France,Europe,Europe,4,12,1,1,FIFA World Cup qualification,Solna,FALSE,No,Draw
Austria,Finland,Europe,Europe,38,47,3,0,FIFA World Cup qualification,Vienna,FALSE,No,Win
Denmark,Lithuania,Europe,Europe,10,84,4,0,FIFA World Cup qualification,Copenhagen,FALSE,No,Win
Argentina,Paraguay,South America,South America,5,67,0,0,FIFA World Cup qualification,Buenos Aires,FALSE,No,Draw
Brazil,Bolivia,South America,South America,8,59,6,0,FIFA World Cup qualification,Recife,FALSE,No,Win
Colombia,Peru,South America,South America,19,70,4,0,FIFA World Cup qualification,Barranquilla,FALSE,No,Win
Uruguay,Venezuela,South America,South America,22,94,4,0,FIFA World Cup qualification,Montevideo,FALSE,No,Win
Iceland,USA,Europe,North America,53,28,0,1,Friendly,Reykjavík,FALSE,No,Lose
Argentina,Colombia,South America,South America,5,19,0,5,FIFA World Cup qualification,Buenos Aires,FALSE,No,Lose
Brazil,Venezuela,South America,South America,8,94,4,0,FIFA World Cup qualification,Belo Horizonte,FALSE,No,Win
